White,Black,moves,NW,NB
" ""Rkitty"""," ""e2_0dl""","['Nc3', 'd5', 'Nf3', 'Nc6', 'd4', 'Nf6', 'e3', 'Bg4', 'Bd2', 'e5', 'Be2', 'exd4', 'Nxd4', 'Bxe2', 'Ndxe2', 'Qe7', 'f3', 'd4', 'Ne4', 'dxe3', 'Bxe3', 'Nxe4', 'fxe4', 'Qxe4', 'Rg1', 'Be7', 'Ng3', 'Bh4', 'Qe2', 'O-O-O', 'Kf1', 'Qf5+', 'Nxf5', 'Rhe8', 'Nxh4', '1-0']",1.0,0.0
" ""JohnHero"""," ""Rkitty""","['g4', 'Nf6', 'g5', 'Nc6', 'gxf6', 'e6', 'fxg7', 'Bxg7', 'Nf3', 'Rg8', 'd4', 'Ne7', 'Nc3', 'c6', 'b4', 'b5', 'a4', 'a6', 'axb5', 'cxb5', 'Nxb5', 'Bb7', 'Nd6+', 'Kf8', 'Nxb7', 'Qb6', 'Nc5', 'Qxb4+', 'Bd2', 'Qc4', 'Nxd7+', 'Ke8', 'Nfe5', 'Bxe5', 'Nxe5', 'Qxd4', 'Nf3', 'Qd5', 'e3', 'Nf5', 'Ra5', 'Qe4', 'Bb5+', 'Ke7', 'Bd3', 'Qc6', 'Ne5', 'Qxh1+', 'Ke2', 'Qxd1+', 'Kxd1', 'Rg1+', 'Ke2', 'Nh4', 'Nc6+', 'Kf6', 'Bc3+', 'e5', 'Bxe5+', 'Ke6', 'Bc4+', 'Kd7', 'Bb5', 'Ke6', 'Nd4+', 'Kxe5', 'Nc6+', 'Ke4', 'Bd3#', '1-0']",0.0,1.0
" ""alisvnd"""," ""Rkitty""","['e4', 'Nf6', 'e5', 'Ng8', 'Nf3', 'e6', 'd4', 'd5', 'Nc3', 'Nc6', 'Bg5', 'Be7', 'Bf4', 'Nh6', 'Bxh6', 'gxh6', 'Bd3', 'Nb4', 'Bb5+', 'Bd7', 'Bxd7+', 'Qxd7', 'a3', 'Nc6', 'O-O', 'O-O-O', 'Re1', 'Kb8', 'Qd2', 'Rhg8', 'Qxh6', 'Rg6', 'Qxh7', 'Rdg8', 'Qxf7', 'Rxg2+', 'Kf1', 'Rg1+', 'Ke2', 'Rxe1+', 'Rxe1', 'Rf8', 'Qh5', 'b6', 'Ng5', 'Nxd4+', 'Kd3', 'Nb5', 'Nh7', 'Rh8', 'Kd2', 'Nxc3', 'bxc3', 'Rg8', 'Re3', 'Bxa3', 'Rg3', 'Rxg3', 'hxg3', 'Bc5', 'Nf6', 'Qb5', 'Qh8+', 'Kb7', 'Ne8', 'Bxf2', 'Qh7', 'Qxe8', 'c4', 'dxc4', 'Qh1+', 'Ka6', 'Qf3', 'Qd7+', 'Kc3', 'Qd4+', 'Kb4', 'Qc5+', 'Kc3', 'Bd4+', 'Kd2', 'c3+', 'Kd3', 'Qxe5', 'Qd1', 'c5', 'Kc4', 'Qd5+', 'Kd3', 'Be5+', 'Ke2', 'Bxg3', 'Qxd5', 'exd5', 'Kf3', 'Be5', 'Ke3', 'd4+', 'Ke4', 'Bc7', 'Kd5', 'Kb5', 'Ke4', 'a5', 'Kd3', 'a4', '0-1']",0.0,1.0
" ""Rkitty"""," ""dorukojin""","['Nc3', 'e5', 'Nf3', 'Nc6', 'e4', 'Nf6', 'd3', 'Bb4', 'Bd2', 'd6', 'Be2', 'Bg4', 'Nd5', 'Bxd2+', 'Nxd2', 'Bxe2', 'Qxe2', 'Nxd5', 'exd5', 'Nd4', 'Qd1', 'O-O', 'c3', 'Nf5', 'g4', 'Nh6', 'f3', 'Qh4+', 'Ke2', 'Rae8', 'b4', 'Qf6', 'c4', 'b6', 'b5', 'Ra8', 'a4', 'a5', 'Ne4', 'Qf4', 'h3', 'f6', 'Nf2', 'Nf7', 'Qd2', 'Qxd2+', 'Kxd2', 'Nd8', 'Ne4', 'Nb7', 'h4', 'f5', 'gxf5', 'Rxf5', 'Ke3', 'Raf8', 'Raf1', 'h5', 'Ng5', 'Nc5', 'Ra1', 'Nb3', 'Ne6', 'Rxf3+', 'Ke4', 'R8f6', 'Rag1', 'Nd2#', '0-1']",1.0,0.0
" ""Manubov"""," ""Rkitty""","['e4', 'Nf6', 'Nc3', 'Nc6', 'Nf3', 'e5', 'Ne2', 'd6', 'Ng3', 'Be7', 'Bd3', 'Bd7', 'c3', 'h6', 'Bc2', 'a6', 'O-O', 'g5', 'Re1', 'h5', 'Nf5', 'Bxf5', 'exf5', 'g4', 'Ng5', 'Nd5', 'Bb3', 'Bxg5', 'Bxd5', 'Rb8', 'f3', 'Ne7', 'Bb3', 'Bf4', 'f6', 'Ng6', 'Re2', 'Qxf6', 'd4', 'gxf3', 'dxe5', 'Bxe5', 'Rf2', 'fxg2', 'Rxf6', '1-0']",0.0,1.0
" ""Rkitty"""," ""Alpha_Scrum""","['Nc3', 'e5', 'Nf3', 'Nc6', 'e4', 'Nf6', 'd3', 'd6', 'Bg5', 'Be7', 'Be2', 'Bg4', 'Bxf6', 'Bxf6', 'h3', 'Bxf3', 'Bxf3', 'Nd4', 'Nd5', 'c6', 'Nxf6+', 'Qxf6', 'c3', 'Ne6', 'c4', 'c5', 'b3', 'Nf4', 'a3', 'Nxg2+', 'Bxg2', 'O-O', 'Qf3', 'Qg6', 'O-O-O', 'f5', 'Rhg1', 'f4', 'Bh1', 'Qe8', 'Qg4', 'Rf7', 'a4', 'b5', 'cxb5', 'a6', 'b6', 'Rb8', 'a5', 'Qb5', 'h4', 'Qxa5', 'h5', 'Qxb6', 'h6', 'g6', 'Kc2', 'Qxb3+', 'Kd2', 'Qb2+', 'Ke1', 'a5', 'Qe6', 'a4', 'Qxd6', 'a3', 'Rd2', 'Qb1+', 'Rd1', 'Qb4+', 'Rd2', 'a2', 'Ke2', 'f3+', 'Ke3', 'Qd4+', 'Qxd4', 'cxd4#', '0-1']",1.0,0.0
" ""Rkitty"""," ""SnagaSex""","['Nc3', 'd5', 'Nf3', 'd4', 'Nb1', 'Nc6', 'd3', 'e5', 'e4', 'Bb4+', 'Bd2', 'Qd6', 'a3', 'Bxd2+', 'Nbxd2', 'Bg4', 'Be2', 'Nf6', 'h3', 'Bxf3', 'Bxf3', 'O-O', 'g4', 'g6', 'g5', 'Nh5', 'Bxh5', 'gxh5', 'h4', 'f6', 'Qxh5', 'Ne7', 'O-O-O', 'fxg5', 'hxg5', 'Ng6', 'Qxh7#', '1-0']",1.0,0.0
" ""Rkitty"""," ""zinnamon""","['d4', 'd5', 'e3', 'Nc6', 'Nc3', 'Nf6', 'Nf3', 'a6', 'e4', 'e6', 'e5', 'Nd7', 'Bg5', 'f6', 'exf6', 'gxf6', 'Bf4', 'f5', 'Ne5', 'Ncxe5', 'dxe5', 'Bg7', 'Qh5+', 'Kf8', 'Bh6', 'Bxh6', 'Qxh6+', 'Ke7', 'Qg5+', 'Ke8', 'Qxd8+', 'Kxd8', 'O-O-O', 'Nxe5', 'Kb1', 'Bd7', 'h4', 'Ng4', 'Rd2', 'Bc6', 'f3', 'Nf6', 'a3', 'Nd7', 'h5', 'h6', 'f4', 'Nc5', 'Rg1', 'Be8', 'Be2', 'Kd7', 'b4', 'Ne4', 'Nxe4', 'fxe4', 'g4', 'Rd8', 'f5', 'Kc8', 'f6', 'Rf8', 'Rf1', 'Rd6', 'a4', 'Bxa4', 'Rd4', 'Bb5', 'Bxb5', 'axb5', 'Rd2', 'Ra6', 'c3', 'Kd7', 'Rg2', 'Rfa8', 'Rgf2', 'b6', 'f7', 'Ra1+', 'Kb2', 'Rxf1', 'Rxf1', 'Rf8', 'Kc2', 'Ke7', 'Kd2', 'Rxf7', 'Ra1', 'Rf2+', 'Ke3', 'Rf6', 'Ra7', 'Kd6', 'Ra8', 'e5', 'Rd8+', 'Kc6', 'Rh8', 'd4+', 'cxd4', 'exd4+', 'Kxd4', 'Rd6+', 'Kxe4', '1-0']",1.0,0.0
" ""ilyassb14"""," ""Rkitty""","['e4', 'Nf6', 'Nc3', 'Nc6', 'f4', 'e5', 'fxe5', 'Nxe5', 'd4', 'Nc6', 'd5', 'Ne7', 'e5', 'Nfxd5', 'Nxd5', 'Nxd5', 'Qxd5', 'd6', 'Bc4', 'dxe5', 'Qxf7#', '1-0']",0.0,1.0
" ""Rkitty"""," ""Spagbol123""","['Nc3', 'd6', 'Nf3', 'Nf6', 'd4', 'g6', 'e3', 'Bg7', 'Bd2', 'e5', 'Be2', 'O-O', 'd5', 'e4', 'Nd4', 'c6', 'dxc6', 'bxc6', 'f3', 'Qe8', 'fxe4', 'Nxe4', 'Nxe4', 'Qxe4', 'Bf3', 'Qh4+', 'Ke2', 'Bg4', 'Be1', 'Nd7', 'Nxc6', 'Ne5', 'Bxh4', '1-0']",1.0,0.0
" ""krzysztofserafin"""," ""Rkitty""","['e4', 'Nf6', 'Nc3', 'e5', 'Nge2', 'Nc6', 'd3', 'd6', 'a3', 'Be7', 'Bg5', 'Bd7', 'h4', 'h6', 'Bxf6', 'Bxf6', 'g3', 'Qe7', 'Bh3', 'Bxh3', 'Rxh3', 'O-O-O', 'Qd2', 'Kb8', 'O-O-O', 'b6', 'Nd5', 'Qe6', 'Nec3', 'Qxh3', 'Nb5', 'Rd7', 'Nxf6', 'gxf6', 'c4', 'Nd4', 'Nxd4', 'exd4', 'Qf4', 'Qh2', 'Qxf6', 'c5', 'Re1', 'Rf8', 'e5', 'dxe5', 'Qxe5+', 'Kc8', 'Qg7', 'Rdd8', 'Qxh6', 'Qg2', 'Re2', 'Qf1+', 'Kc2', 'Qxe2+', 'Kb3', 'Qxf2', 'Qg7', 'Qf3', 'Qe5', 'Qxd3+', 'Ka4', 'Qxc4+', 'b4', 'cxb4', 'axb4', 'd3', 'Qf5+', 'Kc7', 'Qe5+', 'Kc8', 'Qf5+', 'Qe6', 'Qf1', 'd2', 'Qa6+', 'Kd7', 'Qxa7+', 'Ke8', 'Qa6', 'd1=Q+', 'Kb5', 'Qe5+', 'Kxb6', 'Qe6+', 'Kb5', 'Qxa6+', 'Kxa6', 'Qa1+', 'Kb5', 'Rb8+', 'Kc4', 'Qc1+', 'Kb3', 'Qe3+', '0-1']",0.0,1.0
" ""Rkitty"""," ""njbh86""","['Nc3', 'e5', 'Nf3', 'Nc6', 'e4', 'Bc5', 'd3', 'Nge7', 'Bd2', 'd5', 'Be2', 'dxe4', 'dxe4', 'Be6', 'a3', 'b6', 'h3', 'Ng6', 'b4', 'Bd4', 'Nxd4', 'Nxd4', 'Nb5', 'Nxe2', 'Qxe2', 'c6', 'Nc3', 'O-O', 'Qd3', 'Nf4', 'Qxd8', 'Raxd8', 'Bxf4', 'exf4', 'O-O', 'Bc4', 'Rfe1', 'f5', 'exf5', 'Rxf5', 'Ne4', 'Bd5', 'f3', 'Re8', 'g4', 'Rff8', 'Nd6', 'Rxe1+', 'Rxe1', 'Bxf3', 'Nf5', 'g6', 'Ne7+', 'Kh8', 'Kf2', 'Bd5', 'h4', 'h6', 'Nxg6+', 'Kh7', 'Nxf8+', 'Kg7', 'Nd7', 'f3', 'Ne5', 'a5', 'Nxf3', 'Bxf3', 'Kxf3', 'axb4', 'axb4', 'b5', 'Re7+', 'Kf6', 'Rc7', 'Ke5', 'Rxc6', 'Kd5', 'Rc5+', 'Kd4', 'Rxb5', 'Kc3', 'Rb6', 'Kxc2', 'Rxh6', 'Kb3', 'Rb6', 'Kc4', 'h5', 'Kd5', 'h6', 'Ke5', 'h7', 'Kd5', '1-0']",1.0,0.0
" ""mfgfatih3"""," ""Rkitty""","['e4', 'Nf6', 'Nc3', 'Nc6', 'Nf3', 'e5', 'Bc4', 'd6', 'd4', 'Be7', 'dxe5', 'dxe5', 'Qxd8+', 'Nxd8', 'Nxe5', 'Be6', 'Bxe6', 'fxe6', 'Be3', 'Nc6', 'Nxc6', 'bxc6', 'Na4', 'Nxe4', 'O-O', 'h6', 'f3', 'Bg5', 'Bxg5', 'Nxg5', 'Nc5', 'O-O', 'Rfe1', 'e5', 'Rxe5', 'Rab8', 'b3', 'Rbe8', 'Rxe8', 'Rxe8', 'a4', 'Ne6', 'Nxe6', 'Rxe6', 'Kf2', 'Rd6', 'Re1', 'Rd2+', 'Re2', 'Rd5', 'Re7', 'Rh5', 'h3', 'Rd5', 'Ke3', 'Rd1', 'Rxc7', 'Re1+', 'Kf2', 'Rc1', 'c4', 'Rc2+', 'Kg3', 'Rc3', 'b4', 'Rxc4', 'Rxa7', 'Rxb4', 'Ra8+', 'Kh7', 'a5', 'c5', 'a6', 'c4', 'Rc8', 'Ra4', 'Ra8', 'c3', 'a7', 'c2', 'Rc8', 'Ra2', 'a8=Q', 'Rxa8', 'Rxc2', 'Ra6', 'Re2', 'Rg6+', 'Kh4', 'Rf6', 'Re3', 'g5+', 'Kg4', 'Kg6', 'g3', 'Ra6', 'f4', 'Ra4', 'h4', 'h5+', 'Kf3', 'g4+', 'Kg2', 'Ra2+', 'Kf1', 'Ra1+', 'Re1', 'Ra3', 'Kf2', 'Rf3+', 'Kg2', 'Kf5', 'Rf1', 'Ra3', 'Rf2', 'Kg6', 'Rb2', 'Kf5', 'Rb5+', 'Kg6', 'f5+', 'Kh6', 'f6', 'Ra2+', 'Kf1', 'Ra3', 'Kg2', 'Ra2+', 'Kg1', 'Ra3', 'f7', 'Rxg3+', 'Kf2', 'Rf3+', 'Kg2', 'Rxf7', 'Kg3', 'Ra7', 'Rb3', 'Rf7', 'Rc3', 'Rf1', 'Kg2', 'Ra1', 'Rc2', 'Ra3', 'Rd2', 'g3', 'Re2', 'Kg6', 'Kh3', 'Kf5', 'Rg2', 'Kf4', 'Rg1', 'Rf3', 'Rg2', 'Ke3', 'Rxg3', 'Rxg3+', 'Kxg3', 'Ke4', 'Kh3', 'Kf5', 'Kg3', 'Kg6', 'Kf4', 'Kh6', 'Kf5', 'Kg7', 'Kg5', 'Kh7', 'Kxh5', 'Kh8', 'Kh6', 'Kg8', 'Kg6', 'Kh8', 'Kh5', 'Kh7', 'Kg5', 'Kh8', 'Kh6', 'Kg8', 'h5', 'Kh8', 'Kg6', 'Kg8', 'Kh6', 'Kh8', 'Kg6', 'Kg8', 'Kf6', 'Kh7', 'Kg5', 'Kh8', 'h6', 'Kh7', 'Kh5', 'Kh8', 'Kg6', 'Kg8', 'h7+', 'Kh8', 'Kf6', 'Kxh7', '1/2-1/2']",0.0,1.0
" ""Rkitty"""," ""Hilbert-S""","['Nc3', 'a6', 'Nf3', 'd5', 'd4', 'e6', 'e3', 'Nf6', 'Bd3', 'h6', 'Bd2', 'Be7', 'h3', 'Nc6', 'a3', 'O-O', 'b4', 'Bd7', 'b5', 'axb5', 'Bxb5', 'Na7', 'Bxd7', 'Qxd7', 'Ne5', 'Qd6', 'a4', 'Nc6', 'Nb5', 'Qd8', 'Nxc6', 'bxc6', 'Nc3', 'c5', 'a5', 'cxd4', 'exd4', 'c6', 'a6', 'Qb8', 'Qe2', 'Qb2', 'O-O', 'Ra7', 'Ra2', 'Qb6', 'Rb1', 'Qxd4', 'Rba1', 'Bd6', 'Ra4', 'Qe5', 'f4', 'Qxe2', 'Nxe2', 'Ne4', 'Be3', 'e5', 'Bxa7', 'exf4', 'Bb6', 'Be5', 'a7', 'Bxa1', 'a8=Q', 'Rxa8', 'Rxa8+', 'Kh7', 'Rxa1', 'c5', 'Nxf4', 'd4', 'Ra5', 'Nc3', 'Bxc5', 'g5', 'Nd3', 'Ne2+', 'Kf2', 'Nf4', 'Bxd4', 'Ne6', 'Ra7', 'Nxd4', 'Rxf7+', 'Kg6', 'Rd7', 'Nxc2', 'Ne5+', 'Kf6', 'Ng4+', 'Kg6', 'Rd6+', 'Kh5', 'Rxh6#', '1-0']",1.0,0.0
" ""Rkitty"""," ""TaStephany""","['Nc3', 'd5', 'Nf3', 'Nf6', 'd4', 'Nc6', 'e3', 'e6', 'Bd2', 'Bb4', 'Bb5', 'Bd7', 'Bxc6', 'Bxc6', 'a3', 'Bd6', 'h3', 'Ne4', 'Nxe4', 'dxe4', 'Ng5', 'Qxg5', 'f4', 'Qxg2', 'Rf1', 'Bb5', 'Rf2', 'Qh1+', 'Rf1', 'Qxf1#', '0-1']",1.0,0.0
" ""ded_volodka"""," ""Rkitty""","['d4', 'Nf6', 'Bf4', 'd5', 'e3', 'e6', 'c3', 'Nc6', 'Bd3', 'Be7', 'Nf3', 'Bd7', 'h4', 'h6', 'h5', 'a6', 'Nbd2', 'b5', 'Ne5', 'Nxe5', 'Bxe5', 'Ng4', 'Qxg4', 'Bf6', 'Bf4', 'e5', 'dxe5', 'Bxg4', 'exf6', 'Qxf6', 'Bxc7', 'O-O', 'f3', 'Bf5', 'Bxf5', 'Qxf5', 'Bd6', 'Rfe8', 'O-O-O', 'Qe6', 'Bc5', 'd4', 'cxd4', 'Qxa2', 'Ne4', 'Qa1+', 'Kc2', 'Qa4+', 'Kb1', 'Rec8', 'Nc3', 'Qb3', 'Rd2', 'b4', 'Nd5', 'Qa3', 'Ne7+', 'Kh7', 'Nxc8', 'Rxc8', 'Rc2', 'Qxe3', 'Bxb4', 'Rxc2', 'Kxc2', 'Qxd4', 'Rd1', 'Qxb4', 'b3', 'Qc5+', 'Kb2', 'Qf2+', 'Ka3', 'Qxg2', 'Rd3', 'g5', 'hxg6+', 'fxg6', 'f4', 'Qe4', 'Rd7+', 'Kg8', 'Rd8+', 'Kf7', 'Rd7+', 'Ke6', 'Ra7', 'Qxf4', 'Rxa6+', 'Kf5', 'Ra5+', 'Kg4', 'Ra4', 'h5', 'Rxf4+', 'Kxf4', 'b4', 'h4', 'b5', 'h3', 'b6', 'h2', 'b7', 'h1=Q', 'b8=Q+', 'Kg4', 'Qc8+', 'Kh5', 'Qh8+', 'Kg5', 'Qxh1', '1-0']",0.0,1.0
" ""Amit_23"""," ""Rkitty""","['e4', 'Nf6', 'Nc3', 'Nc6', 'f4', 'e5', 'd3', 'd6', 'Be2', 'Bg4', 'Bxg4', 'Nxg4', 'Qxg4', 'g6', 'Nf3', 'h5', 'Qg3', 'Be7', 'Qf2', 'Nd4', 'Nxd4', 'exd4', 'Qxd4', 'Rf8', 'O-O', 'c5', 'Qc4', 'a6', 'f5', 'Bf6', 'Nd5', 'b5', 'Qb3', 'Bd4+', 'Kh1', 'b4', 'c3', 'Be5', 'cxb4', 'Qh4', 'Bf4', 'Bxf4', 'Rxf4', 'Qd8', 'bxc5', 'Rb8', 'Qa4+', 'Qd7', 'Nf6+', 'Ke7', 'Nxd7', 'Rxb2', 'Nxf8', 'Kxf8', 'Qxa6', 'Rd2', '1-0']",0.0,1.0
" ""Rkitty"""," ""thriftlord""","['Nc3', 'e5', 'Nf3', 'd6', 'e3', 'Be6', 'e4', 'Nc6', 'd3', 'Qf6', 'Bg5', 'Qg6', 'Nd5', 'Rc8', 'Qd2', 'h6', 'Nh4', 'Qxg5', 'Qxg5', 'hxg5', 'Nf3', 'g4', 'Ng5', 'Bd7', 'h3', 'g3', 'fxg3', 'f6', 'Nf3', 'Nge7', 'g4', 'Nxd5', 'exd5', 'Nb4', 'O-O-O', 'Nxd5', 'Kb1', 'Ne3', 'Re1', 'Nd5', 'Nh4', 'Rxh4', 'c4', 'Nf4', 'Kc2', 'Ba4+', 'b3', 'Bc6', 'b4', 'Bxg2', 'Bxg2', 'Nxg2', 'Re2', 'Nf4', 'Rf2', 'Nxh3', 'Rfh2', 'Nf2', 'Rxh4', 'Nxh1', 'Rxh1', 'g5', 'Rf1', 'Ke7', 'a4', 'Ke6', 'Kc3', 'Rd8', 'b5', 'd5', 'c5', 'd4+', 'Kc4', 'Rd5', 'b6', 'Rxc5+', 'Kb4', 'Rc1+', 'Kb5', 'Rxf1', '0-1']",1.0,0.0
" ""Rkitty"""," ""vrs4pv""","['Nc3', 'c5', 'Nf3', 'Nc6', 'e4', 'b6', 'd3', 'Bb7', 'Be2', 'e6', 'Bd2', 'd5', 'e5', 'd4', 'Ne4', 'Qc7', 'Bg5', 'Nxe5', 'Nxe5', 'Qxe5', 'Bf3', 'Bxe4', 'Bxe4', 'Qxg5', 'Bxa8', 'Qxg2', 'Bxg2', '1-0']",1.0,0.0
" ""Pikpakwan"""," ""Rkitty""","['e4', 'Nf6', 'e5', 'Ng4', 'Qxg4', 'd6', 'Qa4+', 'Nc6', 'exd6', 'cxd6', 'Bb5', 'Bd7', 'Nf3', 'a6', 'Bxc6', 'Bxc6', 'Qb3', 'e5', 'd3', 'Be7', 'O-O', 'a5', 'Qc4', 'b5', 'Qg4', 'g6', 'b3', 'h5', 'Qg3', 'Bxf3', 'Qxf3', 'O-O', 'Bb2', 'f5', 'd4', 'e4', 'Qg3', 'd5', 'Qxg6+', 'Kh8', 'Re1', 'Rf6', 'Qxh5+', 'Kg7', 'Re3', 'Rh6', 'Rg3+', 'Bg5', 'Rxg5+', 'Kh7', 'Qf7+', 'Kh8', 'Qg7#', '1-0']",0.0,1.0
" ""duypham170106"""," ""Rkitty""","['e4', 'e5', 'Nf3', 'Nf6', 'Nxe5', 'Nc6', 'Nxc6', 'dxc6', 'e5', 'Ng4', 'd4', 'f6', 'Bc4', 'a6', 'e6', 'b5', 'Bb3', 'c5', 'Qxg4', 'c4', 'Qe4', 'cxb3', 'Qxa8', 'Bxe6', 'Qc6+', 'Qd7', 'Qxd7+', 'Kxd7', 'O-O', 'bxc2', 'Nc3', 'Bf5', 'Re1', 'Bb4', 'a3', 'Bxc3', 'bxc3', 'Kd6', 'h3', 'h5', 'f3', 'g5', 'g4', 'hxg4', 'fxg4', 'Bg6', 'Kh2', 'Kd5', 'a4', 'Kc4', 'axb5', 'axb5', 'Re6', 'Kxc3', 'Rxf6', 'Bd3', 'Ra3+', 'Kxd4', 'Rc6', 'b4', 'Ra4', 'Rb8', 'Rxc7', 'Kd5', 'Rd7+', 'Ke4', 'Rg7', 'Kf3', 'Rxg5', 'b3', 'Rf5+', 'Ke2', 'Re5+', 'Kd1', 'Bb2', 'c1=Q', 'Bxc1', 'Kxc1', 'Ra1+', 'Kb2', 'Rd1', 'Kc2', 'Ree1', 'b2', 'Rb1', 'Kb3', 'g5', 'Bxb1', 'Rxb1', 'Ka2', 'Rg1', 'b1=Q', 'Rxb1', 'Kxb1', 'g6', 'Rb6', 'g7', 'Rg6', 'h4', 'Rxg7', 'Kh3', 'Ra7', 'Kg4', 'Ra3', 'h5', 'Ra4+', 'Kg5', 'Ra5+', 'Kg6', 'Ra6+', 'Kg5', 'Ra8', 'h6', 'Kb2', 'Kg6', 'Kc3', 'h7', 'Ra6+', 'Kg7', 'Ra7+', 'Kg8', 'Ra8+', 'Kg7', 'Ra7+', 'Kg8', 'Rxh7', 'Kxh7', '1/2-1/2']",0.0,1.0
" ""Roggeri"""," ""Rkitty""","['e4', 'Nc6', 'd4', 'e5', 'd5', 'Nd4', 'Ne2', 'Nxe2', 'Qxe2', 'd6', 'Qb5+', 'Bd7', 'Qxb7', 'a6', 'Bxa6', 'Ne7', 'Bb5', 'Bxb5', 'Qxb5+', 'Qd7', 'Qxd7+', 'Kxd7', 'O-O', 'Ng6', 'Nc3', 'Be7', 'f4', 'Nxf4', 'Bxf4', 'exf4', 'Rxf4', 'f6', 'a3', 'g5', 'Rg4', 'h5', 'Rg3', 'h4', 'Rg4', 'Rhb8', 'b4', 'c5', 'bxc5', 'dxc5', 'a4', 'c4', 'e5', 'Bc5+', 'Kf1', 'Bb4', 'Ne4', 'fxe5', 'Rxg5', 'Bd6', 'Rg7+', 'Kd8', 'Nxd6', 'Rb2', 'Rg8+', 'Kd7', 'Rxa8', 'Kxd6', 'Rd1', 'Rxc2', 'Rd8+', 'Ke7', 'Rh8', 'c3', 'd6+', 'Kd7', 'Rh7+', 'Kd8', 'd7', 'h3', 'g3', 'Rxh2', 'Rh8+', 'Ke7', 'd8=Q+', 'Ke6', 'Kg1', 'Rg2+', 'Kh1', 'Rxg3', 'Qd6+', 'Kf5', 'Rf8+', 'Ke4', 'Re1+', 'Re3', 'Qxe5+', 'Kxe5', 'Rxe3+', 'Kd4', 'Re1', 'Kd3', 'Rc8', 'Kd2', 'Re4', 'c2', 'Rd8+', 'Kc3', 'Rc8+', 'Kb2', 'Rec4', 'Kb3', 'a5', '1-0']",0.0,1.0
" ""Rkitty"""," ""wen_bored""","['Nc3', 'c5', 'Nf3', 'd6', 'e4', 'Nf6', 'd3', 'g6', 'Bg5', 'Bg4', 'Bxf6', 'exf6', 'h3', 'Bxf3', 'Qxf3', 'Nd7', 'Nd5', 'Bg7', 'g4', 'O-O', 'O-O-O', 'Nb6', 'Nxb6', 'Qxb6', 'Kb1', 'f5', 'exf5', 'Qxb2#', '0-1']",1.0,0.0
" ""Rkitty"""," ""laosu""","['Nf3', 'g6', 'Nc3', 'Bg7', 'd4', 'd6', 'e4', 'Nf6', 'd5', 'O-O', 'Bd2', 'c6', 'Bc4', 'cxd5', 'Bxd5', 'e6', 'Bb3', 'Nc6', 'Nd5', 'exd5', 'exd5', 'Re8+', 'Be3', 'Ng4', 'O-O', 'Nxe3', 'fxe3', 'Rxe3', 'dxc6', 'bxc6', 'Ng5', 'Bxb2', 'Rb1', 'Ba3', 'Bxf7+', 'Kg7', 'Ne6+', 'Kh8', 'Nxd8', 'Bc5', 'Nxc6', 'Rd3+', 'Kh1', 'Rxd1', 'Rbxd1', 'Bb7', 'Na5', 'Rf8', 'Bxg6', 'Rxf1+', 'Rxf1', 'Ba6', 'Bd3', 'Bb7', '1-0']",1.0,0.0
" ""agushariyanto"""," ""Rkitty""","['d4', 'd5', 'e3', 'Nc6', 'Bb5', 'Nf6', 'Bxc6+', 'bxc6', 'Nc3', 'e6', 'Nf3', 'Ne4', 'Nxe4', 'dxe4', 'Ne5', 'Bb4+', 'Bd2', 'Bd6', 'O-O', 'Bxe5', 'dxe5', 'Ba6', 'Re1', 'O-O', 'Bb4', 'Re8', 'a3', 'f5', 'b3', 'g6', 'c4', 'Bb7', 'Rf1', 'a5', 'Bc3', 'c5', 'f3', 'exf3', 'Qxf3', 'Bxf3', 'Rxf3', 'Qd3', 'Raf1', 'Qxc3', 'e4', 'Qxe5', 'exf5', 'exf5', '0-1']",0.0,1.0
" ""AllanK4rdec"""," ""Rkitty""","['e4', 'Nc6', 'Ne2', 'e5', 'g3', 'd6', 'Bg2', 'Be7', 'O-O', 'Bd7', 'c3', 'Nf6', 'd4', 'exd4', 'cxd4', 'g6', 'e5', 'Ng4', 'h3', 'Nh6', 'Bxh6', 'g5', 'Qd2', 'f6', 'exf6', 'Bxf6', 'h4', 'gxh4', 'Re1', 'Be7', 'd5', 'Ne5', 'Nf4', 'Ng4', 'Ne6', 'Bxe6', 'dxe6', 'Nxh6', 'Qxh6', 'Bf8', 'Qh5+', 'Ke7', 'Qf7#', '1-0']",0.0,1.0
