White,Black,moves,NW,NB
" ""Econosawa"""," ""Rkitty""","['e4', 'e5', 'Nf3', 'd6', 'Nc3', 'Nf6', 'Bc4', 'Nc6', 'd3', 'h6', 'Nd5', 'a6', 'Nxf6+', 'gxf6', 'Be3', 'Bg7', 'd4', 'b5', 'Bd5', 'Nb4', 'Bxa8', 'Bg4', 'Bd5', 'Bxf3', 'Qxf3', 'Nxc2+', 'Ke2', 'Nxa1', 'Rxa1', 'O-O', 'dxe5', 'dxe5', 'Qg3', 'Kh7', 'f4', 'exf4', 'Bxf4', 'Qe7', 'Qd3', 'Qb4', 'b3', 'Qa3', 'Bxc7', 'Qb2+', 'Qd2', 'Qxa1', 'Qd3', 'Qb2+', 'Ke3', 'Qxg2', 'e5+', 'Kh8', 'Bxg2', 'fxe5', 'Qf5', 'Re8', 'Be4', 'h5', 'Qh7#', '1-0']",0.0,1.0
" ""JatinSharma87"""," ""Rkitty""","['g3', 'Nf6', 'Bg2', 'Nc6', 'c3', 'd5', 'd3', 'e6', 'Nf3', 'Be7', 'O-O', 'h6', 'c4', 'a6', 'cxd5', 'Nxd5', 'e4', 'Nf6', 'e5', 'Ng4', 'd4', 'Bd7', 'd5', 'exd5', 'Qxd5', 'Be6', 'Qxd8+', 'Rxd8', 'Nc3', 'Ngxe5', 'Nxe5', 'Nxe5', 'Bxb7', 'Nd3', 'Bc6+', 'Bd7', 'Be4', 'Bb5', 'Bxd3', 'Bxd3', 'Bf4', 'Bxf1', 'Kxf1', 'O-O', 'Bxc7', 'Rc8', 'Bf4', 'Bf6', 'Rc1', 'Rfd8', 'Kg2', 'g5', 'Be3', 'Bxc3', 'bxc3', 'Rd3', 'c4', 'Ra3', 'Rc2', 'Ra4', 'c5', 'Kf8', 'c6', 'Ke8', 'Ba7', 'f5', 'c7', 'Kd7', 'Bb8', 'f4', 'gxf4', 'Rxf4', 'Kg3', 'Rb4', 'Rd2+', 'Kc6', 'Rd8', 'Rbxb8', 'cxb8=Q', 'Rxb8', 'Rxb8', 'Kc7', 'Rg8', 'Kb6', 'Rh8', 'Kb5', 'Rxh6', 'Kb4', 'Rh4+', 'Ka3', 'Rg4', 'Kxa2', 'Rxg5', 'Kb3', 'h4', 'Kb4', 'h5', 'a5', 'Rxa5', 'Kxa5', 'h6', 'Kb6', 'h7', 'Kc6', 'h8=Q', 'Kd7', 'Qg7+', 'Kd6', 'Qf6+', 'Kd5', 'Qf5+', 'Kd6', 'Qe4', 'Kd7', 'f4', 'Kd6', 'f5', 'Kd7', 'f6', 'Kd6', 'f7', 'Kd7', 'f8=Q', 'Kc7', 'Qfe7+', 'Kc8', 'Qc6+', 'Kb8', 'Qeb7#', '1-0']",0.0,1.0
" ""Rkitty"""," ""william_slvsto""","['Nc3', 'd5', 'd4', 'Nc6', 'e3', 'e5', 'Bd2', 'Nf6', 'Nf3', 'exd4', 'Nxd4', 'Nxd4', 'exd4', 'c6', 'Ke2', 'Ng4', 'Ke1', 'Qf6', 'Qe2+', 'Be7', 'f3', 'Nh6', 'h4', 'Nf5', 'Bg5', 'Qd6', 'Bxe7', 'Nxe7', 'Kd2', 'Qf4+', 'Qe3', 'Qxe3+', 'Kxe3', 'O-O', 'Kd2', 'Bf5', 'Bd3', 'Bxd3', 'Kxd3', 'Nf5', 'Ne2', 'Rfe8', 'g4', 'Re3+', 'Kd2', 'Rxf3', 'gxf5', 'Rxf5', 'Raf1', 'Rh5', 'Ng3', 'Rh6', 'Nf5', 'Re6', 'Rhg1', 'g6', 'Nh6+', 'Kg7', 'Nxf7', 'Rf8', 'Ne5', 'Rxf1', 'Rxf1', 'a5', 'Rf7+', 'Kg8', 'Rxb7', 'Rf6', 'Rb8+', 'Kg7', 'Rb7+', 'Kg8', 'Kc3', 'h5', 'Rb8+', 'Kg7', 'a3', 'a4', 'Rb7+', 'Kg8', 'Ra7', 'Rd6', 'Rxa4', 'Rd8', 'Nxg6', 'Rb8', 'Ne5', 'Kg7', 'Nxc6', 'Rc8', 'Ra7+', 'Kf6', 'Ra6', 'Kf5', 'Kd3', 'Kg4', 'Ne7', 'Rc7', 'Nxd5', 'Rd7', 'Nf6+', '1-0']",1.0,0.0
" ""CiclosdeObsesion"""," ""Rkitty""","['d4', 'Nf6', 'c4', 'd5', 'Nf3', 'e6', 'a3', 'Be7', 'b4', 'Bd7', 'c5', 'c6', 'Nc3', 'b5', 'e3', 'a6', 'Bd3', 'Ne4', 'Nxe4', 'f5', 'Nc3', 'g5', 'h3', 'g4', 'hxg4', 'fxg4', 'Ne5', 'h5', 'Bg6+', 'Kf8', 'Bxh5', 'Be8', 'Qxg4', 'Bxh5', 'Rxh5', 'Rxh5', 'Qxh5', 'Nd7', 'Qf7#', '1-0']",0.0,1.0
" ""PradeepPayaal"""," ""Rkitty""","['d4', 'd5', 'e3', 'Nf6', 'Bb5+', 'Nc6', 'Nc3', 'Bd7', 'Nf3', 'a6', 'Ba4', 'e6', 'Ne5', 'Nxe5', 'dxe5', 'Bxa4', 'Nxa4', 'Ne4', 'O-O', 'Qd7', 'Qd4', 'b6', 'f3', 'Bc5', 'Nxc5', 'Nxc5', 'f4', 'Ne4', 'b3', 'c5', 'Qa4', 'Qxa4', 'bxa4', 'O-O', 'g3', 'c4', 'Ba3', 'Rfc8', 'Bd6', 'g6', 'Rab1', 'Nd2', 'Rxb6', 'Nxf1', 'Kxf1', 'h5', 'h4', 'a5', 'c3', 'Kg7', 'a3', 'Kh6', 'Kf2', 'Kg7', 'Rb5', 'f6', 'exf6+', 'Kxf6', 'Be5+', 'Kf5', 'Kf3', 'Re8', 'Rb6', 'Ra7', 'Bb8', 'Rd7', 'Be5', 'Ree7', 'Ra6', 'Ra7', 'Rb6', 'Rab7', 'Rb5', 'Rxb5', 'axb5', 'Rb7', 'a4', 'Rb6', 'Bd4', 'Rb7', 'b6', 'Rb8', 'Be5', 'Rb7', 'Bd4', 'Rf7', 'Bc5', 'e5', 'e4+', 'dxe4+', 'Ke3', 'Rb7', 'fxe5', 'Kxe5', 'Bd4+', 'Kd5', 'Kf4', 'Ke6', 'Kxe4', 'Kf7', 'Kf4', 'Re7', 'Kg5', 'Rd7', 'Kf4', 'Ke8', 'Kg5', 'Kf7', 'Kh6', 'Rb7', 'Kg5', 'Kg8', 'Kxg6', 'Kf8', 'Kxh5', 'Kf7', 'g4', 'Kg8', 'g5', 'Rh7+', 'Kg4', 'Rb7', 'g6', 'Kf8', 'h5', 'Kg8', 'h6', 'Re7', 'Kg5', 'Re1', 'h7+', 'Kf8', 'g7+', 'Kf7', 'h8=Q', 'Rg1+', 'Kf4', 'Rf1+', 'Ke5', 'Re1+', 'Kd6', 'Re6+', 'Kc7', 'Re7+', 'Kc6', 'Re6+', 'Kb5', '1-0']",0.0,1.0
" ""Rkitty"""," ""SL_Kaptan""","['Nc3', 'Nf6', 'Nf3', 'Nc6', 'e4', 'e5', 'd4', 'exd4', 'Nxd4', 'Qe7', 'Nxc6', 'bxc6', 'Be2', 'Nxe4', 'Nxe4', 'Qxe4', 'f3', 'Qe6', 'Bd2', 'Bc5', 'b3', 'O-O', 'g4', 'Re8', 'h4', 'Bd4', 'c3', 'Bb6', 'Rh2', 'c5', 'c4', 'Bb7', 'f4', 'Bf3', 'f5', 'Qe5', 'Rf2', 'Bxg4', 'Qc2', 'Bxe2', 'Qc3', 'Qg3', 'Bf4', 'Qg1+', 'Kd2', 'Qxf2', 'Be3', 'Bg4+', 'Bxf2', 'Re2+', 'Kd3', 'Rxf2', 'Rg1', 'Rf3+', 'Ke4', 'Rxc3', 'Rxg4', 'Re8+', 'Kf4', 'Rce3', 'f6', 'R3e4+', 'Kf5', 'Rxg4', 'Kxg4', 'gxf6', 'h5', 'c6', '0-1']",1.0,0.0
" ""habibik9"""," ""Rkitty""","['c4', 'Nf6', 'Nc3', 'Nc6', 'e3', 'e5', 'd4', 'd6', 'd5', 'Nb8', 'e4', 'Bd7', 'Bd3', 'Be7', 'Nf3', 'O-O', 'O-O', 'h6', 'h3', 'a6', 'Be3', 'c5', 'dxc6', 'bxc6', 'b4', 'c5', 'b5', 'axb5', 'cxb5', 'g5', 'Nd5', 'Nxd5', 'exd5', 'Ra5', 'Bd2', 'Ra7', 'Rb1', 'Rb7', 'a4', 'Bc8', 'Qc2', 'Nd7', 'Bh7+', 'Kg7', 'Rbe1', 'Nb6', 'Nxe5', 'dxe5', 'Rxe5', 'Bf6', 'Ree1', 'Nxd5', 'Rd1', 'Nb6', 'Bc3', 'Qe7', 'Rfe1', 'Qc7', 'Re3', 'Bxc3', 'Re6', 'Bxe6', 'Rd5', 'Nxd5', '0-1']",0.0,1.0
" ""Rkitty"""," ""staska17""","['Nc3', 'b6', 'Nf3', 'Bb7', 'd4', 'Nf6', 'e3', 'e6', 'Bd2', 'Be7', 'Be2', 'd5', 'h3', 'c6', 'a3', 'c5', 'Bb5+', 'Bc6', 'Bxc6+', 'Nxc6', 'Ne5', 'Nxe5', 'dxe5', 'Nd7', 'f4', 'O-O', 'Nb5', 'a6', 'Nd6', 'Bxd6', 'exd6', 'Nf6', 'g3', 'Qxd6', 'h4', 'h5', 'g4', 'Nxg4', 'Qe2', 'f5', 'O-O-O', 'b5', 'Kb1', 'a5', 'c3', 'c4', 'Qf2', 'Nxf2', '0-1']",1.0,0.0
" ""Rkitty"""," ""AbnerHenrique""","['Nc3', 'd5', 'd4', 'Nc6', 'e3', 'Nf6', 'Nf3', 'Bg4', 'Be2', 'e5', 'h3', 'Bxf3', 'Bxf3', 'e4', 'Be2', 'Bb4', 'Bd2', 'O-O', 'a3', 'Be7', 'b4', 'a6', 'b5', 'axb5', 'Bxb5', 'Re8', 'Bxc6', 'bxc6', 'O-O', 'Nd7', 'Ne2', 'Bh4', 'g3', 'Qg5', 'Nf4', 'Nf6', 'Qh5', 'Nxh5', 'Nxh5', 'Bxg3', 'Nxg3', 'h5', 'Rfb1', 'h4', 'Kf1', 'hxg3', 'fxg3', 'Qxg3', 'Ke2', 'Qxh3', 'Rh1', 'Qg2+', '0-1']",1.0,0.0
" ""marcello220262"""," ""Rkitty""","['d4', 'Nf6', 'Bf4', 'd5', 'e3', 'e6', 'Nf3', 'Nc6', 'Bb5', 'Bd7', 'c3', 'Be7', 'Nbd2', 'a6', 'Bxc6', 'Bxc6', 'Ne5', 'Bd7', 'Qf3', 'b6', 'Qg3', 'a5', 'a4', 'g6', 'Bh6', 'Nh5', 'Qf3', 'g5', 'Qxf7#', '1-0']",0.0,1.0
